totsquare	livesquare	floor	height	distcenter	distmetro	price
83	64	8	10	5.0	500	10.200
72	58	4	5	1.5	1500	8.300
64	45	1	5	10	2000	7.950
85	65	4	12	2	100	11.000
36	28	2	5	6	1000	5.100
98	82	2	16	8	350	15.020
74	64	9	16	6.5	800	8.760
56	44	3	10	9	3000	6.900
28	21	12	12	15	3500	4.985
68	56	4	12	8	800	8.120
88	79	2	4	4	300	11.900
82	50	3	5	9.5	2000	10.000
78	64	9	10	6.8	1700	9.300
106	89	3	4	12	500	27.780
63	52	4	5	10	1500	8.120
38	30	12	12	9	2500	5.600
72	66	9	10	16	1800	8.600
75	66	10	10	14	1700	10.000
78	69	3	14	16.5	1900	12.000
79	70	13	16	2.5	3800	11.900
