name;lvl;hp;mass;speed;armor;ammo;speed_ammo;dpm;type
;;;;;;;;;
;;;;;;;;;
МС-1;1; 90;4,7;32;18;37;24,00;720;Лёгкий танк
МС-1;1; 90;4,7;32;18;20;92,31;923;Лёгкий танк
МС-1;1; 90;5,4;32;18;37;24,00;864;Лёгкий танк
МС-1;1; 90;5,4;32;18;23;101,89;1 223;Лёгкий танк
МС-1;1; 100;5,4;32;18;20;92,31;923;Лёгкий танк
МС-1;1; 100;5,5;32;18;37;24,00;720;Лёгкий танк
МС-1;1; 100;5,4;32;18;37;24,00;864;Лёгкий танк
МС-1;1; 100;5,4;32;18;23;101,89;1 223;Лёгкий танк
МС-1;1; 100;5,6;32;18;45;20,69;972;Лёгкий танк
Тетрарх;2; 140;7,2;64;16;40;21,00;945;Лёгкий танк
Т-60;2; 150;6,1;45;35;12,7;80,00;640;Лёгкий танк
Т-60;2; 150;6,3;45;35;20;109,09;1 091;Лёгкий танк
Т-60;2; 150;6,3;45;35;23;95,45;1 145;Лёгкий танк
Т-60;2; 170;6,4;45;35;12,7;86,96;696;Лёгкий танк
Т-60;2; 170;6,4;45;35;20;117,65;1 176;Лёгкий танк
Т-60;2; 170;6,4;45;35;23;102,44;1 229;Лёгкий танк
Т-60;2; 170;6,5;45;35;37;22,22;889;Лёгкий танк
БТ-2;2; 140;10,3;55;15;37;24,00;720;Лёгкий танк
БТ-2;2; 140;10,5;55;15;20;109,09;1 091;Лёгкий танк
БТ-2;2; 140;10,5;55;15;37;24,00;864;Лёгкий танк
БТ-2;2; 140;10,5;55;15;23;105,88;1 271;Лёгкий танк
БТ-2;2; 160;10,6;55;15;20;117,65;1 176;Лёгкий танк
БТ-2;2; 160;10,6;55;15;37;26,09;783;Лёгкий танк
БТ-2;2; 160;10,6;55;15;37;26,09;939;Лёгкий танк
БТ-2;2; 160;10,6;55;15;23;112,50;1 350;Лёгкий танк
БТ-2;2; 160;10,8;55;15;45;26,09;1 226;Лёгкий танк
БТ-2;2; 160;10,7;55;15;37;26,09;1 043;Лёгкий танк
Т-26;2; 150;9,3;36;15;37;26,09;939;Лёгкий танк
Т-26;2; 150;9,3;36;15;23;118,03;1 416;Лёгкий танк
Т-26;2; 150;9,5;36;15;45;26,09;1 226;Лёгкий танк
Т-26;2; 150;9,5;36;15;37;26,09;1 043;Лёгкий танк
Т-26;2; 180;9,6;36;15;37;26,09;939;Лёгкий танк
Т-26;2; 180;9,5;36;15;23;118,03;1 416;Лёгкий танк
Т-26;2; 180;9,7;36;15;45;26,09;1 226;Лёгкий танк
Т-26;2; 180;9,7;36;15;37;26,09;1 043;Лёгкий танк
БТ-7 артиллерийский;3; 220;13,5;51,6;20;76;12,50;2 050;Лёгкий танк
М3 лёгкий;3; 220;12,0;61;38;37;24,00;960;Лёгкий танк
ЛТП;3; 230;11,0;45,1;30;45;25,00;1 175;Лёгкий танк
Т-127;3; 250;12,6;38;40;45;26,25;1 234;Лёгкий танк
БТ-СВ;3; 240;13,1;62;25;45;26,25;1 234;Лёгкий танк
БТ-7;3; 210;14,1;65,4;20;45;26,09;1 226;Лёгкий танк
БТ-7;3; 210;13,9;65,4;20;23;112,50;1 350;Лёгкий танк
БТ-7;3; 230;14,2;65,4;20;23;118,03;1 416;Лёгкий танк
